DataSet Entry ID	Text	Tagger Pid	Date	Review Type	Defect Severity	Defect Type	Defect Resolution	Software Defect	Hardware Defect	Comment	Authority?
34582707	The phone is very handy and functional. Good processor, advanced Android version, nice 5MP camera, front camera. Good sound, you can turn on Dolby Digital if you have headphones. Very good display as well, good quality. And Metro PCS is GREAT in my very o 	belijah3	11-15-2015 21:53:00	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
40565744	The only problem i have with this phone, the camera is not so good as the other model of samsung Galaxy note 3 like N900. On night it's worse, very bad photo, the flash light system is worse. This phone it's like a clone. and it's too expensive for his qu 	belijah3	11-15-2015 21:53:00	Comparison	Performance Defect	Hardware	No Resolution Specified	Hardware	Camera		false
65789191	the delivered was quick, I love my phone is so easy to use and it has a great camera and lots of aplications, really easy to use 	belijah3	11-15-2015 21:53:00	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
47282782	Great build and feel...just feels solid and well built. Size and weight are not the least bit of a concern for me.  Yes...if you want a super light phone, this probably isn't for you. If you want a great phone...this is for you.Call quality is superb. Int 	belijah3	11-15-2015 21:55:41	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
52243825	Basically, I have had it replaced 4 times in less than a year now because the screen just stops working.  Verizon always tells me I must drop my phone or something, which has never happened.  Also, my friend has the same problem with this model and keeps  	belijah3	11-15-2015 21:55:41	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	No Defect		false
75469511	I bought this phone as a Christmas gift for my daughter who wanted a touch phone really bad. She's ten years old and I thought the price was just right for someone her age being that she has lost three phones in the past three years. It's not Christmas  	belijah3	11-15-2015 21:55:41	Other	No Defect	No Defect	No Defect	No Defect	No Defect		false
71772713	It is a great phone so far.  It is snappy and smooth.  Voice recognition has worked well.  I have not had it long enough to have any complaints. 	belijah3	11-15-2015 21:55:41	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
45302675	I didn't have connection issues until sony did an update since then the watch will shut down as soon as it attempts to pair up to my phone or shortly after it is powered on. I would happily change the review if it works again after another software update 	belijah3	11-15-2015 21:55:41	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	No Defect		false
2047030	This phone is horrible. It takes your mins even when you cant send a text or make a call. Then when you can finally get service it will take your mins again. The service is not very good with this phone. Texting on this phone is a joke too. Its an all aro 	belijah3	11-15-2015 22:00:59	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
66371904	Arrived fast and is a great phone! 	belijah3	11-15-2015 22:00:59	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
65816410	All XPHONEX brand phones are junk after about 3 weeks my phone stopped charging with the charger,so i had to get a universal charger to charge phone,then the phone keeps powering off if you have it in your pocket.I won't advise anyone to spend money on th 	belijah3	11-15-2015 22:00:59	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
74167728	Was more than I expected for a used phone. Would go this wrought again if in need of a cheap phone. 	belijah3	11-15-2015 22:00:59	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
32047306	The HP portion of the PDA works fine and is supported by an excellent HP service. But when it comes to the phone part, it becomes a night mare. T-Mobile US is one of the worst service providers. When calling customer care you get routed in a circle and af 	belijah3	11-15-2015 22:00:59	Complaint	Other	No Defect	No Defect	No Defect	No Defect		false
75543603	I bought it based on the reviews.  I'd like to warn future buyers that this phone has a major drawback: battery drains too fast and recharging takes too long, about 20% per hour.  So you are looking at 5 hours for a full charge.  What makes it even worse  	belijah3	11-15-2015 22:11:39	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
7719455	Hi, I'm the Kyocera Rise! I'm a phone with a mind of my own. You'll have a wild ride with me - here we go!You should know I look great and setting me up is a breeze. I'll treat you right for the first days or weeks. Once I begin to get to know you, I'll f 	belijah3	11-15-2015 22:11:39	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
78329050	bought it for my nephew as a Christmas gift, but he wasn't happy so I had to return it. No fault of the seller though I think all these blackberries have OS issues which I hope they improve in BB10. Cell Lounge was great though they replaced it for me eve 	belijah3	11-15-2015 22:11:39	Neutral	No Defect	No Defect	Return	No Defect	No Defect		false
8530628	The good stuff.if i could give it 4.5 stars i would. Its a great phone with a BEAUTIFUL screen. It has all these nice features. The battery life is amazing. I start it out at 620 am and at 8 pm i still had 20 % of my battery life. I had the 4g lte on all  	belijah3	11-15-2015 22:11:39	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
82933350	lo felicito el producto que vendio es exelente ya esta en uso y fuciona muy bien gracias  por vender  .. 	belijah3	11-15-2015 22:11:39	No Defect	No Defect	No Defect	No Defect	No Defect	No Defect	spanish	false
29031019	So far so good.I have had my phone approximately for three weeks now. I am still loving it. I use my phone while taking shower, i also keep trying to hurt it, yet it's still fine. 	belijah3	11-17-2015 09:51:52	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
613338	I was thinking about getting either this phone, the Atrix 4G or the HTC 3D phone, but this one is just super fast!!!Great phone, HTC is also great, but I couldn't find it anywhere unlocked....Great android phone, amazing screen...Just got here yesterday. 	belijah3	11-17-2015 09:51:52	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
48769151	bought 2 of these; 1 won't charge and the other will not program.Tiger direct won't exchange and motorola offers no US warranty.Complete junk! 	belijah3	11-17-2015 09:51:52	Complaint	Performance Defect	Both	No Resolution Specified	Operating System	Internal Hardware		false
71599167	This is the phone you need if you just want to make a call.  My son likes to pretend I hand it to him in the store and watch it hit the floor.  It really is one super strong phone.  Great features. 	belijah3	11-17-2015 09:51:52	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
90625257	This would have been the perfect style phone for me (or so I believe).  I don't want a touch screen phone.  I love the design of this phone.  Unfortunately, I received a lemon (actually two lemons).  On the first phone, the beautiful black color on the ph 	belijah3	11-17-2015 09:51:52	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
18138088	I finally wanted an upgrade from my outdated BB9700. Stumbled across the Moto G and was excited by all it offered, especially at the price.What can I say that hasn't been said already? It's a great phone and at the price it feels like a steal. I didn't ex 	belijah3	11-17-2015 09:54:06	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
70621525	I am on my second thunderbolt and can't wait for my upgrade date so I can pitch it. The first would kill the battery when I hooked it up to charge. The service was unreliable and I had nothing but trouble with the phone shutting down in the middle of maki 	belijah3	11-17-2015 09:54:06	Complaint	Performance Defect	Both	Upgrade	Operating System	Internal Hardware		false
40505964	I love my phoneeeeeeeeeeeeeeeeeeeeeeeee... thank youuuuuuuuuuuuuuu 	belijah3	11-17-2015 09:54:06	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
75525976	I'd probably give this phone 3.5 out of 5, whereas I'd give my original Droid 4.5. Main issue is that it seems to crash a lot. Fortunately it reboots quickly, unlike some of the horrific Blackberry products I used to have, but I'd hate to have it happen w 	belijah3	11-17-2015 09:54:06	Comparison	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
54618045	The phone frequently powers off and will not turn on again. It gets stuck in the reboot loop and I need to pull the battery any time I need to make a call.Should be fine if I need to call my folks, but not helpful at all if I needed to make an emergency c 	belijah3	11-17-2015 09:54:06	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
86642831	This phone is too thin and too wide when flipped open, it is not comfortable when I hold it in my hand and try to dial a number. Just picture yourself holding a half deck of poker and try to use your thumb to press on the surface of the card.  The unbalan 	belijah3	11-17-2015 09:56:36	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Encolusre		false
89838371	this is my first smart phone.  was disappointed in the short battery life.  although I turn everything off... bluetooth, wi-fi, a fully charged battery wont make it through a day, or maybe just barely does.  This is true even if I have no voice calls, pla 	belijah3	11-17-2015 09:56:36	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
91566341	Bought if for my girlfriend, she absolutely loves it! the sreen/display is crisp and phone is very responsive...I personally would have preferred at least a 2GB RAM (this one is 1GB) but she loves it! 	belijah3	11-17-2015 09:56:36	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
72862543	I AM WRITING TO EXPRESS MY anger that I feel that I have been A VICTIM OF FRAUD WHEN MAKING THE PURCHASE OF TWO IPHON 4 THAT ARE NOT ORIGINALS OF APPLE, ARE CHINESE AND DON'T HAVE AS INSERTALES THE SIM CARD. EXIIJO THE RETURN OF MY money because I feel sw 	belijah3	11-17-2015 09:56:36	Complaint	Performance Defect	Both	Return	Hardware	Software		false
60164463	This is my first smart phone and I absolutely LOVE IT!!!! It is easy to use and I love how it sync's my contacts with my gmail account. No more worrying about losing contacts when you change phones! I also am able to access my work email about and all of  	belijah3	11-17-2015 09:56:36	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
43012240	How do i know if this is a straight talk phone. When i type in touch screen straight talk phones, then only straight talk phones should pop up correct? I would love to have this phone if i knew this information. 	belijah3	11-17-2015 09:59:26	Neutral	Other	Software	No Resolution Specified	Operating System	No Defect		false
15826346	sweet phone thank you 	belijah3	11-17-2015 09:59:26	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
68515731	Buying my Note 2 via Amazon was a great deal I was not aware customers could do. I received a great deal with my 2 year contract. Love this feature and the phone is amazing. The camera is fantastic too. 	belijah3	11-17-2015 09:59:26	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
76127747	Very god.............. ............. ...........  .......... ... ,, .. .. .. .. ... .. .. .. .. ..  ..  ..  .. 	belijah3	11-17-2015 09:59:26	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
67153185	I just adore this phone!!I am a power user - I like to surf the web while listening to streaming music, I like to listen to my kindle books over a bluetooth headset while I have my GPS running, I like to play FIFA for hours, watch tv shows, record my bike 	belijah3	11-17-2015 09:59:26	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
58902079	This phone had minor issues from the moment I took it out of the box! Initially, the signal quality was poor, calls dropped, and the in call volume was really really bad. However, those issues I was willing to deal with but it got worse! The #34;ear piec 	belijah3	11-17-2015 10:01:45	Complaint	Performance Defect	Both	No Resolution Specified	Operating System	Internal Hardware		false
44683695	Thank you for the great phone. It was perfect for my daughter. Nice sturdy phone. Perfect for a kid. Works great. 	belijah3	11-17-2015 10:01:45	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
19609946	If you are like me, a college student with not much $$ lying around, then this phone is great for you! It looks a bit like a blackberry from far (hence the style), the QWERTY keyboard is especially useful for text messaging (extremely useful especially du 	belijah3	11-17-2015 10:01:45	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
77309098	best cellphone price-quality 	belijah3	11-17-2015 10:01:45	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
66056568	This phone did not work for me, they sent it to me and it wouldn't keep a charge. So they sent me a new battery and that didnt even last a whole day. I ended up sending it back because i was tired of dealing with it... 	belijah3	11-17-2015 10:01:45	Complaint	Performance Defect	Hardware	Return	Hardware	Internal Hardware		false
78149232	VERY GOOD PHONE. I BOUGHT THAT TO MY SOON AND HE LIKES . IT IS VERY NICE THE STYLE. 	belijah3	11-17-2015 10:04:42	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
45710591	Had this phone for about a week when it stopped working properly.  The phone will turn on, but appears to be off, only the two side lights light up.  Can't text or call when the phone does this.  Occasionally it will light up and work normally, but it see 	belijah3	11-17-2015 10:04:42	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
87626011	Tracfone has to send me a sim card for this phone, because it has a t-mobile sim card in it and there are no tmobile towers in my area.  But this phone is fun for a basic phone.  I love the fm radio on it.  Even if I never am able to activate it, I am hav 	belijah3	11-17-2015 10:04:42	Neutral	Performance Defect	Hardware	Replacement	Hardware	Internal Hardware		false
49076128	This is a really good phone for a really good price. Just $99.99 from Virgin Mobile, free from Sprint.It is a low end smart phone, so you can't really compare to high end phones. It's meant to be low end.I must say, that I totally am impressed by its perf 	belijah3	11-17-2015 10:04:42	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
23327827	When i got the phone it had a virus on it within 3 days the phone stopped working all together. 	belijah3	11-17-2015 10:04:42	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
31817697	The phone is not working-have to turn on the speaker to make or receive phone calls, or there is no sound. Trying to get a refund, but they told me they will charge me 20% for restocking if it is not in original condition. I asked what original conditi 	l3g4cy	11-17-2015 10:52:55	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
46642308	Hace apenas 10 antilde;os, era inconcevible una video-conferencia entre computadoras y hoy es una realidad entre telefonos. Gracias a los miles de talentosos seres humanos que dedican sus vidas al servicio de la humanidad y a mejorar nuestras condiciones 	l3g4cy	11-17-2015 10:52:55	Other	No Defect	No Defect	No Defect	No Defect	No Defect	different language	false
62975678	Ok, let me mention the only flaw of this phone: battery life. I know this is an issue for all smart phones, but the battery life on this is horrible. I must admit that I use it mostly for browsing, games, apps, and music, all things that totally consume t 	l3g4cy	11-17-2015 10:52:55	Complaint	Performance Defect	Hardware	No Resolution Specified	No Defect	Internal Hardware		false
58438164	This phone is amazing, low price and excellent specifications. This is my first BLU phone and I recommend the brand and this model, BLU Dash 5,0. 	l3g4cy	11-17-2015 10:52:55	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
58539571	We loved this phone. It is very easy to use and is just the right size. Not to big and odd, fits just right in your hand and has a good clear picture with a good camera.This was the 4th phone for me before I found one I liked.But this one is great. I abou 	l3g4cy	11-17-2015 10:52:55	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
25604474	OK for the price, but if you can afford something better, then go for it.  It completely stopped working after only 3 weeks.  Was it a rare occurrence?  I don't know if they're that cheaply made or I just got unlucky.  I can't tell you.  My refund was ver 	belijah3	11-17-2015 10:53:52	Neutral	Performance Defect	Both	Return	Hardware	Software		false
390151	I really like my Galaxy Nexus.Please note there are 2 main sub-models, one is supported by Google and the other one by Samsung. If you wish to get the latest OS updates fast, make sure you buy the Google one or flash the SW. 	belijah3	11-17-2015 10:53:52	Neutral	No Defect	No Defect	Upgrade	No Defect	No Defect		false
83813462	Quadband Dual Sim Android 4.1 Os with 5 Inch Touch Screen my wife loving it  I brought this for her and she like it lots, this  is the best phone. 	belijah3	11-17-2015 10:53:52	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
69508624	Looks like a smart phone but it's really just a poser.  The touch screen is not easy to use.  I got this phone for my husband and he put up with it because he didn't want to hurt my feelings.  But when I tried to make a call on it or text it was impossibl 	belijah3	11-17-2015 10:53:52	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Display		false
61455334	this such a great phone, looks and feels great in the hand! I love it! EcoSell was great, they are very fast and have awesome customer service. 	belijah3	11-17-2015 10:53:52	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
74800331	The phone is a 'you get what you pay for'.  Works, but not as well as others.The Boost mobile service is the worst phone service I have ever had in my life!  Worst customer service I have ever had!  My home showed up on their service map as having coverag 	belijah3	11-17-2015 10:57:12	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	No Defect		false
87839096	I Rated this purchase as 1 star first of all the product did not come with a charger and when I check they did not say it did not come without charger when it was advertise, the product advertise as unlock and I had to pay to unlock phone hence I would no 	belijah3	11-17-2015 10:57:12	Complaint	Other	No Defect	Other	No Defect	No Defect		false
89291061	It was a waste of money and time. It doesnt work, as simply as that. The battery doesnt work and also it doesnt reads any sim card.Dont buy it.It is the first time that Nokia has let me down. 	belijah3	11-17-2015 10:57:12	Complaint	Performance Defect	Hardware	Other	Hardware	Internal Hardware		false
57532038	I have never had a phone with such a nice big touch screen yet still pretty light. This phone features touch sensitive buttons on the front that are great because they dont wear down like the previous google G1. Camera is excellent, Nice headphone jack on 	belijah3	11-17-2015 10:57:12	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
64031559	I paid 49.99 for this phone at Best Buy. It was what I could afford The battery life is terrible about as bad as the Samsung Dart. By the time I get to Lower Manhattan from Brooklyn I need to use my Burro charger or find a plug! If I don't turn it off whi 	belijah3	11-17-2015 10:57:12	Complaint	Performance Defect	Hardware	No Resolution Specified	No Defect	Internal Hardware		false
90395159	cheap but work just fine 	belijah3	11-17-2015 11:00:27	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
85784227	when do you get it it doesn't even look like the s4  and when you boot it it says demon in red letters /big time lag/basically has no ram /memory storage is like one gigabyte when you get it/ it has.sd.card but some apps you can download cuz it wont let y 	belijah3	11-17-2015 11:00:27	Complaint	Performance Defect	Both	No Resolution Specified	Operating System	Internal Hardware		false
8290077	High recomended... I got a friend that went diving with one at 40 ft... And guess what.... Still working....And i am a scuba instructor so always with my pants wet.... And is awesome 	belijah3	11-17-2015 11:00:27	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
29177006	I regret purchasing the phone, for following reasons:- Even if you get an extended battery, to last a work day you will have to turn off a whole bunch of things like 4g, screen brightness, location and synch services.- Camera is awful- Build quality and m 	belijah3	11-17-2015 11:00:27	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
57610349	This is the worst phone I ever had. I don't recommend anyone getting this. The model had some technical problems if your phone gets over charged it will delete your entries from the phone book. Initially I thought it's the problem with the equipment I got 	belijah3	11-17-2015 11:00:27	Complaint	Performance Defect	Software	No Resolution Specified	Operating System	No Defect		false
36949675	It sucks... touchscreen is simply horrible... Takes forever to respond... WI-fi does not work most of the time... Even, basic #34;calling function#34; is not smooth.... This is worse than a dumb phone... 	belijah3	11-17-2015 11:02:30	Complaint	Performance Defect	Both	No Resolution Specified	Operating System	Display		false
82731694	very good product im happy 	belijah3	11-17-2015 11:02:30	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
36519412	this is a real telephone, excellen product HTC A9192 Inspire 4G Unlocked Phone with Android OS, 3G Support, 8 MP... 	belijah3	11-17-2015 11:02:30	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
60013092	Pros-1. Excellent performance. Incredibly fluid and pleasant experience.2. Very long battery life.3. Nice big display. Excellent for watching videos on the go.4. Camera is excellent. Almost as good as a regular point and shoot.5. 32 GB of internal storage 	belijah3	11-17-2015 11:02:30	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
19004847	I liked the product okay but I have net 10 and I had problems setting it up.  They shut off my phone twice and the second time they gave me the wrong phone number.  When I would call and ask why something wasn't working, they would tell me I would have to 	belijah3	11-17-2015 11:02:30	Neutral	Performance Defect	Software	Return	Operating System	Software		false
43141305	I am so impressed with my BIONIC 4G! Wow!  I love the huge touch screen, 8megpx camera, and best of all, it supports flash! cons: battery life of course but that's expected for a droid that functions like a PC. I love this phone! Very sleek and fast! 	l3g4cy	11-17-2015 11:04:09	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
58008853	My review is of the ACTUAL MyTouch 3G Phone itself, not the transaction details.This is by far the worst phone I have owned.I have used this phone for over 2 years on the T-Mobile Service, am a soon to be former decade+ long customer. I Replaced this MyTo 	l3g4cy	11-17-2015 11:04:09	Complaint	Performance Defect	Both	Replacement	Hardware	Software	doesn't specify defects	false
46529733	Do not deal with Cingular and or ATT because these companies will drive you crazy.  I learned this a hard way, in the last 3-4 months I have been double charged every month because the Cingular and ATT made a mistake on my account. To explain this furthe 	l3g4cy	11-17-2015 11:04:09	Other	No Defect	No Defect	No Defect	No Defect	No Defect	not about phone	false
71236167	This phone is great, however T-mobile service is really bad. Lots of dropped calls, and rude customer service agents. If you can help it do not get T-mobile. 	l3g4cy	11-17-2015 11:04:09	Neutral	No Defect	No Defect	No Defect	No Defect	No Defect		false
61316870	El celular llegoacute; en perfectas condiciones. Excelente celular estoy encantada! Facil de usar con muchas aplicaciones y funciona en Venezuela con Movistar! Me gusta lo grande que son los nuacute;meros para marcar y las letras para escribir son basta 	l3g4cy	11-17-2015 11:04:09	Other	No Defect	No Defect	No Defect	No Defect	No Defect	different language	false
1772458	Great Phone with he greatest OS, ANDROIDGreat Phone with he greatest OS, ANDROIDGreat Phone with he greatest OS, ANDROIDGreat Phone with he greatest OS, ANDROIDGreat Phone with he greatest OS, ANDROIDGreat Phone with he greatest OS, ANDROIDGreat Phone wit 	belijah3	11-17-2015 11:04:31	Compliment	No Defect	No Defect	No Defect	No Defect	No Defect		false
79478316	I have had tracfone service for about 10 years.  I really like this phone.  I boughtone for myself and then ordered another for my neice.  I have had a couple of problems.  One I get a lot of failed texts and two it sometimes shuts itself off that has onl 	belijah3	11-17-2015 11:04:31	Neutral	Performance Defect	Software	No Resolution Specified	Operating System	Software		false
74443809	I bought this phone in mid-july 06 and it was a great phone. I used it for about a week.Then I went to Los Angeles for 2 weeks and on the way back in the airplane I turned off the power. Then when I arrived at Oakland I tried to turn it on. The phone star 	belijah3	11-17-2015 11:04:31	Neutral	No Defect	No Defect	No Defect	No Defect	No Defect		false
43584945	This is the worst cell phone EVER!  I can't understand what people are saying because the sound is so tinny.  I had the phone replaced because I thought the speaker was bad, but the replacement is worse. My battery drains in less than a day on standby b 	belijah3	11-17-2015 11:04:31	Complaint	Performance Defect	Hardware	No Resolution Specified	Hardware	Internal Hardware		false
