DataSet Entry ID	Text	Tagger Pid	Date	Defect Severity	Injury Timing	Defective Component	Complaint Type	DERIVED-Defect	Comment	Authority?
3024655	In my diligent research of dishwashers I found a couple of Bosch DW's to be highly rated. so I looked deeper and went with a 300 Series that fit my budget of about $750. I wanted a very quiet DW and selected one with a 48 dBA. The dishwasher is very quiet, but that's all. I have never had a load that didn't come out with some filminess on the glasses. I followed and used only Bosch suggested detergent and rinse agent. I kept the filters clean but have never seen a truly clean load. I have had the DW for 7 months and it only gets worse. it improves slightly after cleaning the filters, but never perfect. I would not recommend this or any Bosch DW to anyone. 	ctress10	10-18-2015 16:10:48	No Defect		No Component Defect	Cleanliness Complaint	No		false
43585142	Maytag doesn't repair their own machines!  They can't even place a sticker #34; not working order#34; on their machines or repair their own answering service which is choppy when trying to call them!  More than money lost is sad working order machines that cost clothing to be left wet and have to be hung out where there is no place to hang and time lost! 	ctress10	10-18-2015 16:15:39	Performance Defect		No Component Defect	Other Complaint	Yes	This review doesn't pertain to dishwashers so available tags are not suitable	false
41179111	From our point of view, this dishwasher was a mistake. It works, but needs a lot of fussing and maintenance.  Here's our experience.1) Initially, we were impressed. The machine is VERY quiet and it has a cleverly designed rack that lets you load in big serving platters or stack, say, mixing bowls on top of plates. But it quickly became apparent that it wasn't cleaning those bowls well. It had all this extra capacity, but if you actually used it you would be sorry. The salesman at the store said this was because dishwasher soap had been reformulated to eliminate phosphates. Between that and the minimal water usage (another feature), the machine just didn't have enough oomph to clean a big load. After a lot of tinkering, we solved this by increasing the amount of drying agent used per load and adding half a cup of Borax per load--a nuisance.2) Then we discovered that the gasket on the bottom over the washer mechanism is badly designed--it lets gunk into the system, and after it builds up a while the gunk starts to coat the dishes. You can clean out the area, but this involves removing 13 screws (maddeningly, one of them is a different size than the others) and pulling out a number of pieces. We have ended up having to clean it out about once every six months.3) Finally, after a year and a half, we began getting an 0e error. The dishwasher would stop with the indicator flashing 0e, which indicates that the washer is overflowing.  But it wasn't overflowing--the washer was stopping just as the water began flowing in. We ended up having to remove a float sensor on the side of the machine and clean out everything around it, which took a couple of hours. I expect we'll have to do this again.In short, the machine doesn't really clean dishes that well, and truly can't clean itself, which has been a problem for us. 	ctress10	10-18-2015 16:31:20	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
46496347	I have only used the dishwasher three times since getting it but it has performed perfectly. No, it does not hold every dish you own, but it will easily hold the dishes and cookware generated by one or two people a day. But then, in my world, simply not having to wash silverware anymore is absolutely worth the price.(One minor hiccup; the adapter that screws into the faucet did not fit my faucet as it is an older one on a sink in my mud room. I took the adapter to Menards and they fixed me right up with a converter adapter.) 	ctress10	10-18-2015 16:36:14	Performance Defect		Other Component Defect	No Complaint	Yes		false
63356836	Update: I purchased this dishwasher about a year ago and no issues so far. 3/14/14I didn't buy from Amazon, and I bought an extra warranty due to some of the reviews I've seen.  A drawer style dishwasher was my only option due to a design flaw in the kitchen. Purchased March 2013, so far no issues with the dishwasher.I like being able to save water and only run a single drawer at a time, but have the option of running both when needed.  Each drawer only uses 2 gallons of water for a full wash cycle.  With a typical dishwasher I have to run the rinse cycle at least once to keep it from stinking until I am able to fill it and run a full cycle.  The installers told me to make sure to not put anything too tall in the drawer as it would prevent it from sealing during the wash cycle and cause leakage.  I have some large dishes, but they fit; no I cannot fit some of my large cutting boards and cookie sheets, but those won't fit or barely fit in many dishwashers. 	ctress10	10-18-2015 16:41:17	No Defect		No Component Defect	No Complaint	No		false
14504826	I love love love this dishwasher! Great for the price. I was worried because I had never heard of the brand before but its wonderful and fits a lot more dishes than we expected and gets everything super clean. 	ctress10	10-18-2015 16:46:29	No Defect		No Component Defect	No Complaint	No		false
34311115	After 4 service visits and 1 in-shop service my Electrolux dishwasher still does not work properly. Authorized servicer came to evaluate why my Electrolux dishwasher did not work. He required prepayment to do the work and order a new drain pump. The drain pump was installed a few days later and it did not fix the problem. Ordered an additional upgrade kit and again installed the new part a few days later and the dishwasher still did not work.  Ordered a new computerboard and installed it a few days later with the same results. Authorized servicer requested to pick up my dishwasher to investigate the problem at their shop. The dishwasher was returned after a leak in the drain pan requiring an O ring that was not installed when manufactured and the hose clamp that was not tight enough to eliminate leakage. It was then finally able to start and not shutdown with blinking lights. Now, I have runned the dishwasher multiple times (at least 6) and with various types of dishwashing detergents (i.e. liquids and powders) and it does not clean ...the detergent does not dispense properly, meaning the water does not get hot enough to disburse the detergent. After 5 days of attempting to use the dishwasher I am done with this Electrolux product and am disputing my original charges with the authorized servicer. In the meantime, I'm going to purchase a Bosch. 	ctress10	10-19-2015 11:08:30	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
39532144	Same exact thing as all the other negative reviews on this one.  Bought due to the positive reviews in consumer reports and also because we had a 10 year old Whirlpool Gold that worked great.  Thought Whirlpool would be a quality brand.  Same symptoms, If I have to fill my dishwasher on both racks, I have to remove all the bottom rack items and then put the 'still' dirty items from the top rack in and run it again.  So much for energy savings!  Now I'm off to find a brand that will be quality to replace this one.  This is now out of warranty and its at least 91.00 just for a service call to have it diagnosed.  The repair man came out once already and said he didn't see anything wrong. 	ctress10	10-19-2015 11:08:30	Performance Defect		No Component Defect	Cleanliness Complaint	Yes		false
1324028	I bought this roughly a month and a half ago. Works really well for just 2 people in our home. Has a few quirks to it but nothing major. Would recommend (actually have to a few people). 	ctress10	10-19-2015 11:08:30	No Defect		No Component Defect	No Complaint	No		false
57711408	I purchased this dishwasher a few months ago, and I really like it.  The only drawbacks, are that the size is just a little too small, my dinner plates just barely fit (and they are not particularly large dinner plates).  If there was just a bit more headroom, I think it would be perfect.  Also you really have to do a prewash before you put the dishes in.  There cannot be any food chunks on the plate, because this machine will not get them off.  But it can make dishwashing faster. 	ctress10	10-19-2015 11:08:30	No Defect		No Component Defect	No Complaint	No		false
34280302	We bought this machine recently, because a repairman, a review, and a salesman said it was the best company.  We should have read customer comments instead!  For one thing, this dishwasher DOESN'T FIT DISHES.  As many people have remarked about other Bosch models, you can hardly fit anything into it, not only because it doesn't have much room inside, but also because the rack has weird angles and the tines are so close together that it only holds dishes that are almost flat.  If you have a bowl with any depth at all or a dish with a rim, forget it.  The company's photos show the machine full, but they ought to sell those dishes, because no others will fit in.  We have had to bend the tines.  Even when we do manage to fill it, it doesn't hold nearly as many dishes as our 23-year-old Maytag did.That leads to another problem:  Bosch claims to use 1/3 as much water as traditional machines.  But we have to run 3 times as many loads, because it doesn't hold very much.  This all comes with the side benefit that our counter is now often cluttered with dirty dishes, because it's such a pain to fit them into the dishwasher every time we eat something.The machine is fairly quiet, as advertised, but the wash cycle takes 2 hours!Some people comment that Bosch's customer service is horrible.  We haven't needed to use it yet, but it's not surprising, given how unfriendly to the user this machine is.  We hate this dishwasher -- can't wait till it breaks down.  Save your money and get a Maytag or something similar! 	ctress10	10-19-2015 11:08:30	Performance Defect		No Component Defect	Multiple Complaints	Yes		false
61660184	We bought model kudpo2crbl3 a few years ago and it broke in the first few months and numerous times after that. We paid $719.99 and have repair bills that list electronic control, panel control, door latch, control board, soap dispenser, ribbon board, fuse kit as being replaced over a 4 year period. The dishwasher stopped working last week. Won't buy a KitchenAid again. 	ctress10	10-20-2015 00:34:10	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
19028071	We bought this dishwasher in mid-October 2011, and right away I was annoyed by it. Loading was fairly awkward for our dishes, especially glasses; the top rack especially was quite awkward. We also learned that we had to be very careful what we put in the front left corner of the bottom rack, because certain dishes placed there would prevent the soap dispenser door from opening. Although we learned to work with it, we sometimes had to load it inefficiently, or couldn't wash everything because the limited spaces that would fit particular items were already full. Further, the bottom rack would frequently get off-track, causing difficulties getting it back into the dishwasher, especially when heavily-loaded.As time went on, we started finding that food would often get left on dishes, and had to learn what wouldn't get clean in which spaces. For example, certain glasses couldn't go in a corner or they would come out of the washer dirtier than when they went in. Arrangement of dishes became even more awkward to ensure everything got clean. Even then, sometimes we'd end up with gritty residue left on dishes, despite using JetDry and quality detergent.The dishwasher also quickly developed an odor problem, which could be alleviated by cleaning out the hinge area (which tended to build up food residue and bacterial growths), but was never entirely eliminated.The final straw came several days ago - two weeks past the end of the warranty - when the washer died on us. We called Samsung, who shunted us to some local service center that was supposed to call us within two days and never called. We had a local appliance repair guy come out, and he determined that the wash motor was locked up and would need replacing. At $465 for just the part alone, neither he nor I deemed it worth fixing.Needless to say, Samsung has lost our business. We'll be replacing it with something else, possibly a Bosch (though we haven't decided yet). 	ctress10	10-20-2015 00:34:10	Performance Defect		Other Component Defect	Multiple Complaints	Yes		false
38574553	I bought this new Amana dishwasher and had it professionally installed.  It has power to all the wiring and has water to the inlet valve.  It won't turn on - and has never worked.  I only give it one star because it's not possible to give it less here.  I will never buy another Amana product! 	ctress10	10-20-2015 00:34:10	Performance Defect		Other Component Defect	Other Complaint	Yes		false
56064989	We were tired of the portable dishwasher.  There are only 2 of us.  Yes, it takes up some counter space, but not nearly as much space as the portable one did non the floor.  We can now walk through our kitchen without any obstacles.  The cleaning power so far is very comparable.  You need to pre rinse for than you do with the portable, but again there are only 2 of us.  It's very quiet does not use a lot of water and holds 2 - 3 days worth of dishes at a time. 	ctress10	10-20-2015 00:34:10	No Defect		No Component Defect	No Complaint	No		false
24388764	First thing the price of this unit is the most appealing part of this product. That being said the you get what you pay for when your unit stops working even if under warranty good luck getting it fixed I believe iv sent 5 emails and made at least 4 one hour phone calls to be lied too and left with no resovle. I'm beyond fed up with danby and have bought a new unit sad because I recommended it to my brother 	ctress10	10-20-2015 00:34:10	Performance Defect		No Component Defect	Other Complaint	Yes	Need More Information	false
60672896	I have had the dishwasher a few weeks now. It doesn't quite hold all it says it can but I just run it a little more often. I love not seeing dishes in the sink and it fits on my counter just right. The dial is a little hard to tell where it is in the cycle but when I was reading other reviews before I bought it and one of the reviewers suggested that he solved this by just taking a marker and marking it so you could tell. Overall I am very pleased with this product. 	ctress10	10-20-2015 00:42:59	No Defect		No Component Defect	No Complaint	No		false
59088999	I bought a Dishwasher DMT300RFS. Had two major issue within 6 weeks of each other.Repairman said water is not hot enough to desolve soap. Have had dishwashers for 30 years and have never had this isue. I was told a credit would be issued as unit had problems. I called a week after being to this and was then told no credit will be issued. I am VERY disappointed Samsung made a terrible appliance then lied about how they would resolve problem Probably just wanted me off the phone. I will NEVER buy another Samsung product as they do not stand behind their products. 	ctress10	10-20-2015 00:42:59	Performance Defect		Other Component Defect	Other Complaint	Yes		false
26148192	I love this dishwasher. I live in a tiny condo and I have been washing my dishes by hand for 12 years. I was sick of it. A friend told me about these and I bought one. The best thing I have ever done. It does a great job, and I don't have a sink full of dishes anymore. Highly recommended for small spaces and dish wash weary people! 	ctress10	10-20-2015 00:42:59	No Defect		No Component Defect	No Complaint	No		false
42398591	Plastic clips that hold the upper rack in place consistently break off and then clog up the pump.  We paid extra for a super quiet dishwasher, but the plastic in the drain make this thing a noise monster.  It's really loud when it is even working.  Fancy piece of trash. 	ctress10	10-20-2015 00:42:59	Performance Defect		Multiple Component Defects	Noise Complaint	Yes		false
29772588	The worst dishwasher ever!  We have owned it 1.4 years and have had at least 5 service repair calls. Our newest issue is the top rack rack is completely broken. The dishes are never clean and the pump already broke once. It is horrible. 	ctress10	10-20-2015 00:42:59	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes	More Information About All The Problems	false
73156865	We own this dishwasher and are completely happy with it.We have had GE, Whirlpool and Bosch before but this is by far the best one yet.No matter what you put in it will get clean! Please note that the reason we bought this machine is the fact that it has a build in water softener and when you live in an area with hard water this feature is essential. Our dishes used to be really dirty and not clean but with Miele everything gets sparkling clean without this typical hard feel to glassware.I would buy this machine again in a heartbeat. 	meg13	10-20-2015 08:13:08	No Defect		Button Component Defect	No Complaint	No		false
76103166	It takes literally hours for a cycle to complete and then you have to wash the dishes by hand afterwards because of all the leftover schmutz.  I think I'll just take it to the dump when I replace it because I don't want to burden someone else with it.  If I could give it zero stars I would've.  Whatever you do, do NOT buy this dishwasher. 	meg13	10-20-2015 08:13:08	Performance Defect		SprayArm Component Defect	Cleanliness Complaint	Yes		false
39811376	We did not buy our dishwasher thru Amazon - we bought it at Sears.  We came to this site to try find help in getting our dishes clean using this dishwasher.  We find others who bought this quiet receptacle for putting soap on our dishes have had the same experience.  At least we won't waste money repairing it.  It just doesn't wash dishes.  It puts soap on them.  Then you have run the the rinse cycle twice.  Then you manually wipe the soap scum off.  We will write this off, and never buy a kitchenaid again. 	meg13	10-20-2015 08:13:08	Performance Defect		SprayArm Component Defect	Cleanliness Complaint	Yes		false
72315472	Had this dishwasher for 18 months, ran great, cleaned OK, nice and quiet. Now the electronics and touchpad has gone bad and will cost as much to repair, as to replace, roughly around 470 to get it running again.  Will not buy another Maytag again, and am now searching for the old push button style controller on my new purchase.  I see by previous comments, this is nothing new to this model. 	meg13	10-20-2015 08:13:08	Performance Defect		Button Component Defect	Other Complaint	Yes	Not happy with touchpad and electronics	false
77952495	... if I can still get my old dishwasher back for the appliance store.  This machine is noisy!  And not even in a normal way.  I thought a dog was moaning and crying in my kitchen.  Not a pleasant sound.  With all the technology that goes into this, who is watching out for the aesthetics?  I would prefer a KitchenAid, very silent. 	meg13	10-20-2015 08:13:08	Performance Defect		Other Component Defect	Noise Complaint	Yes	Not sure which component is causing the loud noise	false
72842867	One of our most sorry appliance experiences ever.Is loud as a Cessna. Ours lasted only for 8 days then would just make a hum noise.Lucky for us it was not 38 days, so we were able to haul it to where we boughtit. Otherwise we'd be stuck with probably lousy warranty service. Still total waste of our time and resources.Frigidaire should get out of the appliance business if this is going tobe the quality of their products... 	meg13	10-20-2015 08:23:33	Performance Defect		Other Component Defect	Noise Complaint	Yes	Not sure which component is causing the humminh	false
37695014	what could I have possibly expected? In all truth has been a lifesaver due to business/lack of desire to do dishes. At the same time, the effort involved is hardly less than doing dishes. 	meg13	10-20-2015 08:23:33	Performance Defect		SprayArm Component Defect	Cleanliness Complaint	Yes		false
58478659	Received the item with a small dent on top which I thought nothing of, shouldn't affect the performance I thought.  But when I plug everything in, the machine just makes a whirring noise, no water spraying, no movement of the dial.  After 15 optimistic minutes, I gave up.  Returning back for exchange.  Crossing my fingers for the next box. 	meg13	10-20-2015 08:23:33	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
2115140	as an army wife having just moved back to the states with a very active 15-month old boy, sometimes getting dishes done was not only last on my list, but almost always undone! This appliance is a life-saver! It's cleaning great, and isn't overly huge (we did have a microwave cart to put it on). Fits a full service for 4 easily, even the big dinner plates with room to spare! Some of my coffee cups had to be relocated to the bottom shelf, but that it ok. Not being able to have the room for a full-size or even a rollinf dishwasher in our tiny kitchen made this dishwasher a must! Can't beat the energy-star label and that it was very simple to install! Granted, I have a portible washing machine so I knew how to do it so install took all of 15 min. All the pieces will need to be securely tightened before use, they are not factory tightened. but it was very easy. The only complaint I hve is we will still have to wash some things by hand, but that is to be expected as this IS a small appliance. It's roughly 1.5x bigger than our 900w emerson microwave, so keep that in mind. It fefanately wouldn't have fit on our counter! Also, make sure you release the water pressure via the red button on the part that attaches to the faucet before you diconnect the machine, it will save you a huge mess! All in all, this is a great buy and so far, I would definately buy one again if i didnt have the room in a future kithen! Worth every penny! 	meg13	10-20-2015 08:23:33	Performance Defect		SprayArm Component Defect	Cleanliness Complaint	Yes	Doesn't clean extremely well but overall happy with the unit because of its small size	false
33437874	Outside of stainless steel front door rusted after only 3 months of use.I thought Stainless steel was not suppose to rust.I called Whirlpool who now owns Kitchenaid and was told the rust on the outside is considered under the warranty to be cosmetic and not covered. I argued it was the use of inferior materials and not stainless steel as the claimed in their advertising.The person I talked to SAID that was just too bad and hung up on me.I am going to file a false advertising claim against the company if I can find how to do that.ABSOLUTELY DON'T BUY ANY KITCHENAID OR WHIRLPOOL PRODUCTS, THE ARE THE SAME COMPANY AND MAKE JUNK.The model of my dishwasher is: KUDC10FSXSS5 	meg13	10-20-2015 08:23:33	Performance Defect		Other Component Defect	Other Complaint	Yes	Potential injury from rust - tetnis	false
23609858	I've joked since getting this dishwasher a year and a half ago that if our house was on fire, the first thing I'd make sure is the kids were outside. Next, the dog. Next, the dishwasher.This thing is amazingly quiet. I still rarely can tell when it's on, except for the tiny red light that glows on the floor under the side of the dishwasher (which I guess is there to tell you it's on because it's so quiet!)It's stainless steel inside and out. After a year and a half it's still gleaming inside and the exterior is in great shape. There are many programming options, including the option to program the washer to start anywhere from 1 to 12 hours into the future. The buttons for this are on the top of the dishwasher, so when it's closed you don't see them at all.You have the ability to change the top drawer's height, to allow for taller items on the top or bottom shelf. Also, some of the section spacer things can be adjusted to an angle, or laid down flat, giving you a lot of options for what to put where.On occasion for maintenance, I've cleaned the little drain parts inside. They pull out easily, wash easily, reinstall easily.My only worry when getting this dishwasher was that it didn't have a disposal built in like our last one did. We were told at the store that basically this one was so powerful it would smash food bits to just about nothing. Still, when putting dishes inside I do rinse off ones that I think may cause a problem. But most dishes I don't rinse at all, and I know bigger foodie bits do get missed sometimes, as there are 6 of us that help fill the dishwasher. To date, everything we've put in it has come out sparkling clean, every time. 	meg13	10-20-2015 08:29:41	No Defect		No Component Defect	No Complaint	No		false
67499579	I have been the happy and impressed owner of the two previous models of Maytag portables in this same class (full size portables).  They generally outperformed everyone's built-in's that we knew of.Our last one needed some rack replacements and my wife wanted white.  To put parts on the old beast (which had never had a single service call) would have cost around $250.  So who wouldn't look at $500 for a new one and do that?  I should have listened to my wife!On day one the door made odd noises and didn't go down all the way.  After 3 months and many calls it was finally working as it should have.  The tech explained that our old unit had a metal tub and the new models have plastic and they bend more easily.We are 4 months short of the 2 year mark and here are the problems:*) Chipboard top is disintegrating over the steam port due to exposure to steam - previous two models NEVER did this.*) Leaks from front left side*) Does not drain about 1 out of every 10 washes*) silverware rack is giving out on the bottom.  We never put sharp knives in our racks and the previous two units the silverware rack lasted 5+ years.*) Door now sags about 3 inches lower than it shouldI called Maytag Customer Experience - and it take forever to get anyone on the phone (just don't answer any voice prompts and after about 3 minutes of pesting to push buttons, you will get a human).  They don't acknowledge any service problems or quality issues - but the guy knew I knew otherwise because I told him I'm a third time buyer.  Since it's out of the 1 year warranty, they won't do a thing.Our extended warranty does not cover cosmetic things - which apparently includes silverware racks!  Don't rely on the comfort of an extended warranty - you still have to spend way too much time calling, following up, being present for maintenance - very painful - extended warranties do not compensate for product quality.If you start to have these problems inside of one year -address them immediately - maybe you'll get to the magic lemon law limitation of 3 service calls for the same thing and they have to replace it.Maytag - you have effectively taken me from being an impressed, bragging rights client to will never purchase again in one sale. 	meg13	10-20-2015 08:29:41	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes		false
28948797	About 3 years ago, we bought a Bosch 4 cycle dishwasher. We loved it! It's quiet and the dishes are always clean. But... if you open the door at the start of the cycle to stick in that last-minute spoon, it leaks water under the dishwasher. Then it will refuse to run the cycles until the water dries up. After awhile, the water underneath has an extremely unpleasant odor. After several repair calls to fix this, we gave up. This was about the time the panel on the top of the door cracked and pulled away from the door. The dishwasher still works, but our new Samsung (same decibel rating as the Bosch) is coming next week and I can't wait. I've always relied on Bosch products but I will not buy another Bosch dishwasher again. 	meg13	10-20-2015 08:29:41	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes	leak causes bad smell	false
34968627	I have two of these dishwashers in black.  What a big waste of my money and several thousands of dollars to go with it!  Every year, if it's not one, it's the other having problems.  And every time I've had to spend at least $400 to repair something.  One time they even sent me a #34;Miele Authorized#34; third party technician since they didn't have any available on hand.  And a year later, only to find out that the part he replaced (which with labor and parts cost about $500+), he took out a valve that was supposed to be left on.  Oh, and can I say that this dishwasher only uses Miele brand dishwashing tablets?  Calling this a piece of crap is an understatement. 	meg13	10-20-2015 08:29:41	Performance Defect		Multiple Component Defects	Multiple Complaints	Yes	expensive repairs every year but did not specify exactly what	false
